OBJECTID,LoggerID,Date,DateTime,Interval,Average DO,Avg Temp (C),Avg Temp (F),Coordinates,Avg_Ct,GlobalID,x,y
1,2006673,2022-07-15,7/15/2022 4:00:00 PM,3,8.402667,28.21733,82.7912,"41.887712, -70.509952",15,b66ff03a-1501-4c07-9712-5571d6d431f6,-7849131.95249816,5144174.05856379
2,2006673,2022-07-15,7/15/2022 10:00:00 PM,4,8.457778,28.13583,82.6445,"41.887712, -70.509952",36,0281c392-3658-41ee-9440-e37f0ae26346,-7849131.95249816,5144174.05856379
3,2006673,2022-07-16,7/16/2022 4:00:00 AM,1,9.505278,22.13944,71.851,"41.887712, -70.509952",36,3443bab2-a6b3-4edc-a07d-6907bee15e35,-7849131.95249816,5144174.05856379
4,2006673,2022-07-16,7/16/2022 10:00:00 AM,2,9.993611,19.29778,66.73599,"41.887712, -70.509952",36,38629339-89a2-44fb-b09a-5dbdd1b626ef,-7849131.95249816,5144174.05856379
5,2006673,2022-07-16,7/16/2022 4:00:00 PM,3,9.116667,23.75611,74.761,"41.887712, -70.509952",36,17230f6b-9b79-4101-84f7-f235be5d90ff,-7849131.95249816,5144174.05856379
6,2006673,2022-07-16,7/16/2022 10:00:00 PM,4,8.697778,26.74195,80.1355,"41.887712, -70.509952",36,e5df2dbc-f7e6-43a7-b1e5-35ade285f8a0,-7849131.95249816,5144174.05856379
7,2006673,2022-07-17,7/17/2022 4:00:00 AM,1,9.2975,22.8275,73.08949,"41.887712, -70.509952",36,c735af6e-3606-4270-9fde-db8c32064cef,-7849131.95249816,5144174.05856379
8,2006673,2022-07-17,7/17/2022 10:00:00 AM,2,9.64,20.72667,69.308,"41.887712, -70.509952",36,f12783b3-5581-4f1c-8225-bdc2a2abfb3b,-7849131.95249816,5144174.05856379
9,2006673,2022-07-17,7/17/2022 4:00:00 PM,3,8.924444,24.33805,75.8085,"41.887712, -70.509952",36,aa0f99d7-23a1-45c1-b012-51baa4d0a144,-7849131.95249816,5144174.05856379
10,2006673,2022-07-17,7/17/2022 10:00:00 PM,4,8.326944,28.28333,82.91,"41.887712, -70.509952",36,a783cdac-a439-4842-8b37-4e7b14eac822,-7849131.95249816,5144174.05856379
11,2006673,2022-07-18,7/18/2022 4:00:00 AM,1,9.1275,23.54417,74.3795,"41.887712, -70.509952",36,a3d79cee-9c5f-441f-a1b8-c997ea3396f3,-7849131.95249816,5144174.05856379
12,2006673,2022-07-18,7/18/2022 10:00:00 AM,2,9.138333,23.48667,74.276,"41.887712, -70.509952",36,fe7a2c6c-26c5-4254-a2d5-2c223f7a8c4f,-7849131.95249816,5144174.05856379
13,2006673,2022-07-18,7/18/2022 4:00:00 PM,3,8.16,29.97389,85.953,"41.887712, -70.509952",36,715d3516-12a9-4f1a-a1a4-9ed9935ffaae,-7849131.95249816,5144174.05856379
14,2006673,2022-07-18,7/18/2022 10:00:00 PM,4,8.198889,28.67222,83.61,"41.887712, -70.509952",36,c8aa3ba4-241d-48f3-ae5d-ca717857c037,-7849131.95249816,5144174.05856379
15,2006673,2022-07-19,7/19/2022 4:00:00 AM,1,8.7875,24.80556,76.64999,"41.887712, -70.509952",36,4b9f9a52-f1e1-40a6-9505-9d06fa85c5b3,-7849131.95249816,5144174.05856379
16,2006673,2022-07-19,7/19/2022 10:00:00 AM,2,8.923478,23.75478,74.75861,"41.887712, -70.509952",23,5ae17dff-bd10-41b7-b226-7fb085bbe9d9,-7849131.95249816,5144174.05856379
17,2006673,2022-07-19,7/19/2022 10:00:00 AM,2,8.83077,25.20692,77.37246,"41.919887, -70.516605",13,bab602cb-7545-4a8d-8661-2bcea02c7bfe,-7849872.56107041,5148986.44914016
18,2006673,2022-07-19,7/19/2022 4:00:00 PM,3,7.9375,30.56083,87.0095,"41.919887, -70.516605",36,54ea3950-e0e9-4550-b3fb-4c675260e182,-7849872.56107041,5148986.44914016
19,2006673,2022-07-19,7/19/2022 10:00:00 PM,4,7.684444,32.05972,89.7075,"41.919887, -70.516605",36,6e75ae83-5ef3-4ee8-a4eb-c5451618dd8c,-7849872.56107041,5148986.44914016
20,2006673,2022-07-20,7/20/2022 4:00:00 AM,1,8.865,24.70694,76.4725,"41.919887, -70.516605",36,2701b5d4-c9aa-4bd9-8400-7055ca26fd72,-7849872.56107041,5148986.44914016
21,2006673,2022-07-20,7/20/2022 10:00:00 AM,2,9.126111,23.16444,73.696,"41.919887, -70.516605",36,614f9aed-77e1-4a62-ab2c-a5b0876e5dfe,-7849872.56107041,5148986.44914016
22,2006673,2022-07-20,7/20/2022 4:00:00 PM,3,7.700909,30.68364,87.23055,"41.919887, -70.516605",11,2ab830d0-2a48-4c3c-8c14-dbda845fef1f,-7849872.56107041,5148986.44914016
23,2006676,2022-07-15,7/15/2022 4:00:00 PM,3,8.245334,27.28867,81.1196,"41.890661, -70.510036",15,ca3b470b-d9bf-4488-a1a3-009302c4be70,-7849141.30333539,5144615.037351
24,2006676,2022-07-15,7/15/2022 10:00:00 PM,4,8.152778,27.85556,82.14,"41.890661, -70.510036",36,1c684f62-ffff-4454-a080-d90c5f9caaeb,-7849141.30333539,5144615.037351
25,2006676,2022-07-16,7/16/2022 4:00:00 AM,1,8.947222,22.89139,73.2045,"41.890661, -70.510036",36,6caaf6ce-21ed-47e4-94f7-0c11d73d0c18,-7849141.30333539,5144615.037351
