TOC_Event_Id,Location_ID,Sample_Date,TOC_pct,TOC_BDL,TN_pct,TN_BDL,Notes,Lab_methods,Lab,Certified_Date,Certified_By
1,CACO_Hx1_7,7/13/2019,0.604,FALSE,0.093,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
2,CACO_Hx2_13,7/13/2019,0.784,FALSE,0.122,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
3,CACO_Hx3_1,7/13/2019,,TRUE,0.030,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
4,CACO_Hx4_11,7/13/2019,0.315,FALSE,0.047,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
5,CACO_Hx5_21,7/13/2019,,TRUE,,TRUE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
6,CACO_Hx6_20,7/13/2019,1.787,FALSE,0.272,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
7,CACO_Hx7_1,7/13/2019,0.361,FALSE,0.051,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
8,CACO_Hx8_12,7/13/2019,,TRUE,0.024,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
9,CACO_Hx9_13,7/13/2019,,TRUE,0.019,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
10,CACO_Hx10_11,7/13/2019,2.583,FALSE,0.356,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
11,CACO_HX11_6,7/13/2019,,TRUE,0.020,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
12,CACO_Hx12_12,7/13/2019,0.583,FALSE,0.087,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
13,CACO_Hx13_11,7/13/2019,1.419,FALSE,0.213,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
14,CACO_Hx14_16,8/1/2019,,TRUE,0.029,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
15,CACO_Hx15_11,8/1/2019,,TRUE,,TRUE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
16,CACO_Hx16_13,7/30/2019,1.705,FALSE,0.219,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
17,CACO_Hx17_14,7/30/2019,2.620,FALSE,0.405,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
18,CACO_Hx18_1,7/30/2019,0.613,FALSE,0.084,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
19,CACO_Hx19_14,7/30/2019,2.507,FALSE,0.347,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
20,CACO_Hx20_13,7/30/2019,0.710,FALSE,0.106,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
21,CACO_Hx21_18,7/30/2019,1.108,FALSE,0.140,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
22,CACO_Hx22_13,7/30/2019,,TRUE,0.025,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
23,CACO_Hx23_1,7/30/2019,0.172,FALSE,0.029,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
24,CACO_Hx24_20,7/30/2019,0.207,FALSE,0.033,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
25,CACO_Hx25_19,7/30/2019,0.249,FALSE,0.029,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
26,CACO_Hx26_17,7/30/2019,,TRUE,,TRUE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
27,CACO_Hx27_11,8/23/2019,0.538,FALSE,0.076,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
28,CACO_Hx28_2,8/23/2019,0.636,FALSE,0.090,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
