id,internal_station_id,collected_at,temperature_C,salinity,dissolved_oxygen_mg/L,chlorophyll_ug/L,pheophytin_ug/L,turbidty_NTU,nitrate_nitrite_uM,ammonium_uM,ortho_phosphate_uM,silicate_uM,particulate_organic_nitrogen_uM,particulate_organic_carbon_uM,total_dissolved_nitrogen_uM,total_dissolved_phosphorus_uM,total_nitrogen_uM,total_phosphorus_uM,total_nitrogen_TDN_PON
10552,76,2006-05-30T12:27:00.000Z,17.3,29.2,,,,,0.01,,0.61,,,,,,,,
10553,76,2006-06-19T10:37:00.000Z,22.2,23.9,7.94,,,,0.59,,0.6,,,,,,,,
10554,76,2006-07-05T11:34:00.000Z,23.6,21.8,7.26,,,,0.16,,0.3,,,,,,,,
10555,76,2006-07-20T11:40:00.000Z,23.7,25.8,7.55,,,,0.01,,0.59,,,,,,,,
10556,76,2006-08-01T09:41:00.000Z,24,23.4,8.93,,,,1.2,,1.37,,,,,,,,
10557,76,2006-08-30T16:01:00.000Z,14.8,31.4,8.76,,,,0.31,,0.56,,,,,,,,
10558,76,2006-09-07T09:11:00.000Z,19,31,7.86,,,,0.01,,0.41,,,,,,,,
10559,76,2006-09-21T10:43:00.000Z,18.8,26.3,9.56,,,,0.61,,2.99,,,,,,,,
10560,76,2006-10-08T11:04:00.000Z,15.7,25.2,8.66,,,,3.08,,1.08,,,,,,,,
10561,76,2006-10-16T12:23:00.000Z,12.6,22.6,8.08,,,,0.58,,1.06,,,,,,,,
10562,76,2007-05-26T12:32:00.000Z,21.5,24.3,8.15,2.37,1.66,3.07,0.31,,0.38,,,,,,26.12,1.53,
10563,76,2007-06-09T10:35:00.000Z,19,25.6,7.5,1.06,0.64,2.52,0.36,,0.67,,,,,,32.69,1.75,
10564,76,2007-06-24T11:32:00.000Z,18.5,26.8,7.72,0.76,0.67,1.67,0.22,,0.29,,,,,,21.84,1.09,
10565,76,2007-07-10T12:20:00.000Z,23.7,26.1,8.11,,,2.41,0.53,,1.05,,,,,,34.87,2.5,
10566,76,2007-07-26T14:48:00.000Z,27,26.8,8.98,1.89,1.2,1.38,1.1,,1.49,,,,,,41.88,2.61,
10567,76,2007-08-10T14:32:00.000Z,20.7,27.7,7.36,1.48,1.35,1.48,0.26,,0.85,,,,,,14.4,0.82,
10568,76,2007-08-22T11:15:00.000Z,20.8,19.2,8.37,1.62,1.33,1.58,0.12,,0.39,,,,,,20.02,2.23,
10569,76,2007-09-09T15:05:00.000Z,21.5,30,6.58,2.03,1.41,3.17,0.16,,0.48,,,,,,25.45,2.97,
